ngram,count
happiness,137
social,51
personal,34
psychology,33
japanese,27
positive,24
personality,23
subjective,23
support,22
achievement,21
negative,21
emotional,20
europeanamerican,19
individualism,19
asian,18
east,18
orientation,18
self,18
subjective wellbeing,18
selfesteem,17
interpersonal construal happiness cultural psychological,15
relationships,15
crosscultural,14
society,14
states,14
personality social psychology,13
studies,13
cultural construal,12
earthquake,12
cultural contexts,11
journal personality,11
markus,11
participants,11
research,11
satisfaction,11
east asian,10
factors,10
mobility,10
relational,10
culture,9
economic,9
emotions,9
goals,9
achievement orientation,9
